source_file,source_line,name,unit,price_rub,currency
price_list_01.txt,7,Демонтаж подоконников (пластиковые),компл.,264,RUB
price_list_01.txt,8,Демонтаж подоконников (шиферные/камень),м.п.,660,RUB
price_list_01.txt,9,Демонтаж оконных откосов (штукатурные),м.п.,396,RUB
price_list_01.txt,10,Демонтаж оконных откосов (пластиковые),компл.,198,RUB
price_list_01.txt,11,Демонтаж двери и дверных коробок (без сохранения),компл.,660,RUB
price_list_01.txt,13,"Демонтаж перегородок (ПГП, гипсолит, газобетон) толщиной до 100 мм",м2,330,RUB
price_list_01.txt,14,Демонтаж перегородок (газобетон) толщиной до 250 мм,м2,435.6,RUB
price_list_01.txt,15,"Демонтаж перегородок (кирпич, керамзитобетон) толщиной до 150 мм",м2,528,RUB
price_list_01.txt,16,Демонтаж ненесущих перегородок (бетон) толщиной до 100 мм,м2,660,RUB
price_list_01.txt,17,"Демонтаж стен из ГКЛ, ГВЛ, аквапанелей",м2,330,RUB
price_list_01.txt,18,"Демонтаж перегородок из ГКЛ, ГВЛ, аквапанелей",м2,594,RUB
price_list_01.txt,19,Демонтаж перегородок из дерева,м2,528,RUB
price_list_01.txt,20,Демонтаж ГКЛ на металлическом каркасе,м2,330,RUB
price_list_01.txt,21,Демонтаж ГКЛ на деревянном каркасе,м2,330,RUB
price_list_01.txt,22,Демонтаж каркаса ГКЛ с потолков,м2,264,RUB
price_list_01.txt,32,"Демонтаж ) электрики, выкл./роз.,люстр и светильников (бра) др. (с",м2,79.2,RUB
price_list_01.txt,33,сохранением),шт.,396,RUB
price_list_01.txt,34,Демонтаж линолеума или ковролина (не прикрепленного),м2,92.4,RUB
price_list_01.txt,35,Демонтаж линолеума или ковролина (прикрепленного),м2,264,RUB
price_list_01.txt,36,Демонтаж стяжки пола (без сетки) до 70 мм,м2,475.2,RUB
price_list_01.txt,37,Демонтаж стяжки пола (с сеткой) до 70 мм,м2,739.2,RUB
price_list_01.txt,38,Демонтаж напольной плитки,м2,396,RUB
price_list_01.txt,39,Демонтаж обоев со стен (легко снимаемые),м2,105.6,RUB
price_list_01.txt,40,Демонтаж обоев со стен (трудно снимемые),м2,198,RUB
price_list_01.txt,41,Демонтаж обоев с потолка (легко снимаемые),м2,151.8,RUB
price_list_01.txt,42,Демонтаж обоев с потолка (трудно снимаемые),м2,264,RUB
price_list_01.txt,43,"Демонтаж напольного плинтуса (пластик, МДФ, полиуретан, дерево)",компл.,79.2,RUB
price_list_01.txt,44,"Демонтаж напольного плинтуса (плитка, камень)",м.п.,132,RUB
price_list_01.txt,45,"Демонтаж потолочного плинтуса (пенопласт, полиуретан, МДФ)",компл.,105.6,RUB
price_list_01.txt,46,"Демонтаж потолочного плинтуса (гипс, кирпич)",м.п.,660,RUB
price_list_01.txt,47,Демонтаж панелей потолочных в санузлах,м2,264,RUB
price_list_01.txt,48,Демонтаж плитки со стен в санузлах и фартук кухни,м2,396,RUB
price_list_01.txt,50,Демонтаж унитаза,шт.,726,RUB
price_list_01.txt,53,Демонтаж раковины,шт.,594,RUB
price_list_01.txt,54,Демонтаж ламината,м2,145.2,RUB
price_list_01.txt,55,Шлифование поверхности стен до основания не более 3 мм,м2,330,RUB
price_list_01.txt,56,Шлифование поверхности потолка до основания не более 3 мм,м2,429,RUB
price_list_01.txt,64,Демонтаж штукатурки со стен,м2,396,RUB
price_list_01.txt,68,"(перегородки, сантехн.шкафчик, плоскости(стены,",м2,660,RUB
price_list_01.txt,71,"Демонтаж потолка ""армстронг"" и профилей",м2,264,RUB
price_list_01.txt,72,Демонтаж натяжных потолков,м2,132,RUB
price_list_01.txt,73,"Зачистка труб отопления, водоснабжения от старой краски (по факту)",м.п.,660,RUB
price_list_01.txt,74,"Зачистка труб отопления, водоснабжения (по факту)",м.п.,396,RUB
price_list_01.txt,92,Устройство временного электроснабжения,м2,66,RUB
price_list_01.txt,99,Укрывание пола оргалитом и подложкой с проклейкой стыков скотчем,м2,198,RUB
price_list_01.txt,100,Демонтаж радиаторов отопления (с последующей установкой),шт.,792,RUB
price_list_01.txt,107,Монтаж труб отопления,п.м.,132,RUB
price_list_01.txt,108,"Покраска труб отопления, водоснабжения в 2-3 слоя (черновые)",м.п.,594,RUB
price_list_01.txt,134,Сбор коллектора отопления (1 кран),шт.,396,RUB
price_list_01.txt,141,Монтаж откосов стен из блока (наращивание проемов),м.п.,792,RUB
price_list_01.txt,142,"Подготовка основания под стены (ПГП, газобетон, керамзитобетон, кирпич)",м.п.,462,RUB
price_list_01.txt,144,Приклеивание пробки по периметру,м.п.,66,RUB
price_list_01.txt,147,Наценка за монтаж стен из газобетона или керамзитобетона толщиной 15-20см,м2,264,RUB
price_list_01.txt,148,Монтаж усиленного угла под штукатурку,м.п.,528,RUB
price_list_01.txt,149,Разметка под штукатурные маяки (с установкой маяков),м2,264,RUB
price_list_01.txt,153,Грунтование,м2,39.6,RUB
price_list_01.txt,154,Грунтование с очисткой основания,м2,105.6,RUB
price_list_01.txt,155,Монтаж фасадной пластиковой сетки (в слой штукатурки) (ячейка 10*10мм),м2,264,RUB
price_list_01.txt,156,Монтаж металлической штукатурной сетки,м2,264,RUB
price_list_01.txt,161,с фасадной сеткой (ячейка10*10,м2,976.8,RUB
price_list_01.txt,163,Оштукатуривание по маякам до 3 см (с удалением маяков),м2,792,RUB
price_list_01.txt,164,Оштукатуривание в сложных местах (с удалением маяков),п.м.,792,RUB
price_list_01.txt,165,Наценка за оштукатуривание по маякам свыше 30 мм (за каждые 10 мм),м2,198,RUB
price_list_01.txt,166,Наценка за установку маяков (углы под 90°) (с удалением маяков),м2,132,RUB
price_list_01.txt,168,"Шпатлевание базовый слой, ошкуривание, приклеивание стеклохолста/малярного",м2,39.6,RUB
price_list_01.txt,169,флизелина (под покраску) 1 этап,м2,528,RUB
price_list_01.txt,170,Шпатлевание со шлифовкой (под покраску) 2 этап,м2,818.4,RUB
price_list_01.txt,171,Шпатлевание со шлифовкой (под обои под покраску),м2,818.4,RUB
price_list_01.txt,172,Шпатлевание со шлифовкой (под плотные обои),м2,818.4,RUB
price_list_01.txt,176,"местах(шпатлевание, шлифование, грунтование (под обои) (по",м2,963.6,RUB
price_list_01.txt,177,факту),м.п.,818.4,RUB
price_list_01.txt,178,"Оклеивание обоями (простые, без сложностей)",м2,554.4,RUB
price_list_01.txt,179,"Оклеивание обоями (сложные, с подгонкой)",м2,660,RUB
price_list_01.txt,180,"Оклеивание обоями (сложные, по цене за рулон 2000-5000 р.)",м2,792,RUB
price_list_01.txt,183,Оклеивание обоями в сложных местах (по факту),м.п.,554.4,RUB
price_list_01.txt,184,Оклеивание обоями под покраску,м2,396,RUB
price_list_01.txt,185,Оклеивание обоями под покраску в сложных местах,м.п.,396,RUB
price_list_01.txt,186,Покраска одноцветной краской в 2 слоя (валиком) 3 этап,м2,633.6,RUB
price_list_01.txt,194,"Покраска одноцветной краской (безвоздушное нанесение, с упаковкой помещения)",м2,924,RUB
price_list_01.txt,195,Покраска одноцветной краской в 2 слоя в сложных местах,м.п.,633.6,RUB
price_list_01.txt,198,Затирка декоративного камня,м2,858,RUB
price_list_01.txt,199,Прямолинейный рез декоративного камня,м.п.,699.6,RUB
price_list_01.txt,200,Подгонка камня в районе розеток и светильников (бра),шт.,594,RUB
price_list_01.txt,201,Грунтование,м2,39.6,RUB
price_list_01.txt,202,"Разметка плитки перед началом укладки, фартук",м.п.,211.2,RUB
price_list_01.txt,207,"Затирка швов плитки, фартук кухни (до 60см в высоту) цементной затиркой",м.п.,924,RUB
price_list_01.txt,217,"до 50 мм в керамической плитке (под водорозетки,",м.п.,580.8,RUB
price_list_01.txt,218,"канализац.трубы, розетки и др.)",шт.,396,RUB
price_list_01.txt,219,Разметка плитки перед началом укладки,м2,211.2,RUB
price_list_01.txt,221,Наценка за укладку разноформатной плитки,м2,462,RUB
price_list_01.txt,226,Затирка швов плитки/керамогранита цементной затиркой,м2,660,RUB
price_list_01.txt,228,Затирка швов плитки/керамогранита (мелкоформатной),м2,858,RUB
price_list_01.txt,229,Затирка швов мозаики цементной затиркой,м2,924,RUB
price_list_01.txt,231,Прямолинейный рез плитки,м.п.,237.6,RUB
price_list_01.txt,232,Монтаж ГКЛ-перегородки (сборка каркаса),м2,594,RUB
price_list_01.txt,233,Монтаж ГКЛ-листов первый слой,м2,330,RUB
price_list_01.txt,234,Монтаж ГКЛ-листов второй слой с приклеиванием на клей ПВА,м2,396,RUB
price_list_01.txt,235,Звукоизоляция ГКЛ перегородок мин.ватой (за 1слой),м2,330,RUB
price_list_01.txt,240,"неразрывным контуром, пропенивание",м2,396,RUB
price_list_01.txt,241,между ПП в 2 слоя,м2,792,RUB
price_list_01.txt,242,Проклейка звукоизоляционной прокладки по периметру звукоизоляции,м.п.,132,RUB
price_list_01.txt,243,"Бескаркасная звукоизоляция перегородок ""Саундлайн-ПГП"" (первый слой)",м2,660,RUB
price_list_01.txt,244,"Монтаж панелей ""Саундлайн-dB Звукоизоляционный триплекс"" (первый слой)",м2,462,RUB
price_list_01.txt,249,звукоизоляционной,м2,396,RUB
price_list_01.txt,250,периметру звукоизоляции,м.п.,264,RUB
price_list_01.txt,251,Обрешетка каркаса перед обшивкой,м2,594,RUB
price_list_01.txt,260,Обшивка стен вагонкой,м2,858,RUB
price_list_01.txt,261,Отделка стены рейками,м2,990,RUB
